ID, Age, Gender, Occupation, Hours_worked_per_week, Job_stress, Emotional_exhaustion, Depersonalization, Personal_accomplishment
1, 32, Male, Engineer, 55, High, 3, 2, 4
2, 25, Female, Teacher, 45, Medium, 2, 1, 5
3, 40, Male, Lawyer, 60, High, 4, 3, 3
4, 28, Female, Nurse, 50, Low, 1, 1, 5
5, 35, Male, Salesperson, 55, Medium, 3, 2, 4
6, 30, Female, IT professional, 55, High, 4, 3, 3
7, 26, Male, Accountant, 50, Medium, 2, 2, 4
8, 39, Female, HR professional, 45, Low, 1, 1, 5
9, 31, Male, Marketing professional, 60, High, 3, 3, 3
10, 27, Female, Researcher, 40, Low, 1, 2, 5
